LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,diversified,MI42,3mindia
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17,financegeneral,AF17,aavasfinanciers
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9,financeinvestments,ABC9,adityabirlacapital
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,pharmaceuticals,AI51,abbottindia
https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,cementmajor,ACC06,acc
https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,trading,AE13,adanienterprises
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,infrastructuregeneral,MPS,adaniportsspecialeconomiczone
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,powergenerationdistribution,AP11,adanipower
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,powertransmissionequipment,AT22,adanitransmission
https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,retail,PFR,adityabirlafashionretail
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,pharmaceuticals,AET,advancedenzymetechnologies
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,transportlogistics,AL9,aegislogistics
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248,miscellaneous,ARVIN54248,arvindfashionslimited
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanigaslimited/ADG01,miscellaneous,ADG01,adanigaslimited
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,castingsforgings,AIE01,aiaengineering
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,pharmaceuticals,AP22,ajantapharma
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,paintsvarnishes,ICI,akzonobelindia
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,pharmaceuticals,AP35,alembicpharmaceuticals
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,pharmaceuticals,AL05,alkemlaboratories
https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC,chemicals,AAC,alkylamineschemicals
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,transportlogistics,AGL02,allcargologistics
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,autoancillaries,ARB,amararajabatteries
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01,miscellaneous,AEI01,amberenterprisesindialimited
https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,cementmajor,AC18,ambujacements
https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,steeltubespipes,BT09,aplapollotubes
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,hospitalsmedicalservices,AHE,apollohospitalsenterprises
https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,tyres,AT14,apollotyres
https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,autolcvshcvs,AL,ashokleyland
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,constructioncontractingcivil,AB,ashokabuildcon
https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,paintsvarnishes,AP31,asianpaints
https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH,diversified,ADH,asterdmhealthcareltd
https://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,plastics,APT02,astralpolytechnik
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,pharmaceuticals,AZP,astrazenecapharma
https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06,chemicals,A06,atul
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02,banksprivatesector,ASF02,ausmallfinancebank
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,pharmaceuticals,AP,aurobindopharma
https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,aquaculture,AF21,avantifeeds
https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,retail,AS19,avenuesupermarts
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,banksprivatesector,AB16,axisbank
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,auto23wheelers,BA10,bajajauto
https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02,personalcare,BC02,bajajconsumercare
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,domesticappliances,BE,bajajelectricals
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,financeleasinghirepurchase,BAF,bajajfinance
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,financeinvestments,BF04,bajajfinserv
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,financeinvestments,BHI,bajajholdingsinvestment
https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,tyres,BI03,balkrishnaindustries
https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,diversified,BLC,balmerlawriecompany
https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,sugar,BCM,balrampurchinimills
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09,banksprivatesector,BB09,bandhanbank
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,bankspublicsector,BOB,bankofbaroda
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,bankspublicsector,BOI,bankofindia
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,bankspublicsector,BM05,bankmaharashtra
https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,chemicals,BAS,basfindia
https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,leatherproducts,BI01,bataindia
